,DATE,WEEK,COUNTRY,size
730,24/08/2021,35,Ireland,123
850,26/08/2021,35,Chile,120
792,25/08/2021,35,Ireland,119
377,19/08/2021,34,Spain,117
891,26/08/2021,35,Mexico,117
42,04/08/2021,32,United States of America,116
130,12/08/2021,33,Germany,116
1266,31/08/2021,36,Ireland,116
512,21/08/2021,34,Norway,111
1115,29/08/2021,36,France,107
709,24/08/2021,35,Canada,106
77,07/08/2021,32,United States of America,105
438,20/08/2021,34,Norway,105
161,14/08/2021,33,Ireland,103
1216,30/08/2021,36,Norway,100
1,01/08/2021,32,Ireland,100
531,21/08/2021,34,Turkey,99
96,09/08/2021,33,Ireland,99
607,22/08/2021,35,Spain,99
688,23/08/2021,35,Spain,99
30,03/08/2021,32,United States of America,98
897,26/08/2021,35,New Zealand,97
1059,28/08/2021,35,Norway,95
344,19/08/2021,34,Italy,93
921,26/08/2021,35,Turkey,92
81,08/08/2021,33,Ireland,91
1250,31/08/2021,36,Canada,91
239,16/08/2021,34,Ireland,90
576,22/08/2021,35,Italy,90
612,22/08/2021,35,Turkey,85
1185,30/08/2021,36,France,82
977,27/08/2021,35,Mexico,82
70,07/08/2021,32,Ireland,81
1030,28/08/2021,35,France,80
659,23/08/2021,35,Italy,79
61,06/08/2021,32,Ireland,78
120,11/08/2021,33,Ireland,77
550,22/08/2021,35,Chile,76
145,13/08/2021,33,Ireland,75
760,24/08/2021,35,Turkey,73
303,18/08/2021,34,United States of America,72
108,10/08/2021,33,Ireland,72
478,21/08/2021,34,Chile,72
293,18/08/2021,34,Ireland,71
703,24/08/2021,35,Australia,71
694,23/08/2021,35,Turkey,70
526,21/08/2021,34,Spain,70
46,05/08/2021,32,Ireland,69
590,22/08/2021,35,New Zealand,68
204,15/08/2021,34,Norway,68
354,19/08/2021,34,Mexico,67
769,25/08/2021,35,Australia,67
133,12/08/2021,33,Ireland,67
678,23/08/2021,35,Poland,67
995,27/08/2021,35,Saudi Arabia,66
14,02/08/2021,32,Ireland,65
367,19/08/2021,34,Poland,64
667,23/08/2021,35,Mexico,64
1244,31/08/2021,36,Australia,63
23,03/08/2021,32,Ireland,63
319,19/08/2021,34,Chile,62
670,23/08/2021,35,New Zealand,61
276,17/08/2021,34,Ireland,61
913,26/08/2021,35,Saudi Arabia,60
596,22/08/2021,35,Poland,59
821,25/08/2021,35,Spain,59
35,04/08/2021,32,Ireland,58
907,26/08/2021,35,Poland,58
776,25/08/2021,35,Chile,57
1230,30/08/2021,36,Spain,57
1000,27/08/2021,35,Spain,56
720,24/08/2021,35,France,56
1209,30/08/2021,36,Mexico,56
499,21/08/2021,34,Italy,56
967,27/08/2021,35,Italy,56
1126,29/08/2021,36,Italy,55
285,17/08/2021,34,United States of America,55
357,19/08/2021,34,New Zealand,53
173,15/08/2021,34,Australia,52
756,24/08/2021,35,Spain,51
806,25/08/2021,35,Norway,50
632,23/08/2021,35,Chile,50
826,25/08/2021,35,Turkey,49
1054,28/08/2021,35,Mexico,48
817,25/08/2021,35,Saudi Arabia,48
919,26/08/2021,35,Switzerland,46
178,15/08/2021,34,Canada,46
1057,28/08/2021,35,New Zealand,45
1156,29/08/2021,36,Spain,45
1279,31/08/2021,36,Norway,45
454,20/08/2021,34,Spain,44
1139,29/08/2021,36,New Zealand,44
518,21/08/2021,34,Poland,44
981,27/08/2021,35,New Zealand,44
1075,28/08/2021,35,Spain,43
435,20/08/2021,34,New Zealand,43
744,24/08/2021,35,Norway,43
379,19/08/2021,34,Switzerland,42
588,22/08/2021,35,Mexico,41
1176,30/08/2021,36,Chile,41
784,25/08/2021,35,France,41
443,20/08/2021,34,Poland,41
1152,29/08/2021,36,Saudi Arabia,41
923,26/08/2021,35,United Arab Emirates,40
684,23/08/2021,35,Saudi Arabia,39
1135,29/08/2021,36,Mexico,39
945,27/08/2021,35,Chile,39
421,20/08/2021,34,Italy,38
990,27/08/2021,35,Poland,37
1199,30/08/2021,36,Italy,37
1285,31/08/2021,36,Saudi Arabia,37
189,15/08/2021,34,France,37
399,20/08/2021,34,Chile,35
658,23/08/2021,35,Israel,34
691,23/08/2021,35,Switzerland,34
1213,30/08/2021,36,New Zealand,34
1226,30/08/2021,36,Saudi Arabia,33
433,20/08/2021,34,Mexico,33
710,24/08/2021,35,Chile,31
752,24/08/2021,35,Saudi Arabia,30
383,19/08/2021,34,United Arab Emirates,30
1104,29/08/2021,36,Chile,30
711,24/08/2021,35,Colombia,29
803,25/08/2021,35,New Zealand,28
508,21/08/2021,34,Mexico,28
742,24/08/2021,35,New Zealand,28
602,22/08/2021,35,Saudi Arabia,28
372,19/08/2021,34,Saudi Arabia,27
341,19/08/2021,34,India,27
852,26/08/2021,35,Colombia,27
844,26/08/2021,35,Brazil,27
610,22/08/2021,35,Switzerland,26
1233,30/08/2021,36,Switzerland,26
1003,27/08/2021,35,Turkey,25
874,26/08/2021,35,India,24
909,26/08/2021,35,Puerto Rico,24
194,15/08/2021,34,Italy,24
523,21/08/2021,34,Saudi Arabia,24
916,26/08/2021,35,South Africa,23
677,23/08/2021,35,Peru,23
834,26/08/2021,35,Argentina,23
877,26/08/2021,35,Israel,23
1020,28/08/2021,35,Chile,23
381,19/08/2021,34,Turkey,22
511,21/08/2021,34,New Zealand,22
449,20/08/2021,34,Saudi Arabia,22
516,21/08/2021,34,Peru,22
882,26/08/2021,35,"Korea, Republic of",21
1162,29/08/2021,36,United Arab Emirates,21
1066,28/08/2021,35,Poland,20
1002,27/08/2021,35,Switzerland,20
314,19/08/2021,34,Brazil,20
528,21/08/2021,34,Switzerland,20
552,22/08/2021,35,Colombia,20
321,19/08/2021,34,Colombia,20
228,16/08/2021,34,Canada,20
946,27/08/2021,35,Colombia,19
101,09/08/2021,33,Sweden,19
1221,30/08/2021,36,Poland,19
963,27/08/2021,35,India,19
456,20/08/2021,34,Switzerland,19
794,25/08/2021,35,Italy,19
376,19/08/2021,34,South Africa,19
696,23/08/2021,35,United Arab Emirates,19
