,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
334,19/08/2021,34,France,5387.070000000001
368,19/08/2021,34,Portugal,5323.58
1142,29/08/2021,36,Norway,5301.48
527,21/08/2021,34,Sweden,5276.610000000001
455,20/08/2021,34,Sweden,5257.3
956,27/08/2021,35,France,5220.01
68,07/08/2021,32,Australia,5199.58
398,20/08/2021,34,Canada,5110.04
769,25/08/2021,35,Australia,4982.09
1209,30/08/2021,36,Mexico,4928.04
190,15/08/2021,34,Germany,4874.9
984,27/08/2021,35,Norway,4822.78
335,19/08/2021,34,Germany,4808.36
721,24/08/2021,35,Germany,4750.17
378,19/08/2021,34,Sweden,4747.76
257,16/08/2021,34,Spain,4691.37
646,23/08/2021,35,France,4637.04
592,22/08/2021,35,Norway,4532.29
295,18/08/2021,34,Mexico,4449.290000000001
564,22/08/2021,35,France,4398.92
1175,30/08/2021,36,Canada,4374.22
1282,31/08/2021,36,Poland,4288.63
282,17/08/2021,34,Sweden,4225.05
21,03/08/2021,32,Australia,4134.16
800,25/08/2021,35,Mexico,4069.4300000000003
917,26/08/2021,35,Spain,4012.86
116,11/08/2021,33,Australia,3914.51
1059,28/08/2021,35,Norway,3909.91
173,15/08/2021,34,Australia,3724.84
56,06/08/2021,32,Australia,3650.6400000000003
17,02/08/2021,32,Slovakia,3548.78
1216,30/08/2021,36,Norway,3501.66
489,21/08/2021,34,Germany,3475.9
411,20/08/2021,34,France,3449.4100000000003
709,24/08/2021,35,Canada,3441.12
412,20/08/2021,34,Germany,3398.89
0,01/08/2021,32,Australia,3378.19
703,24/08/2021,35,Australia,3361.11
149,13/08/2021,33,Oman,3311.3500000000004
512,21/08/2021,34,Norway,3307.88
237,16/08/2021,34,France,3304.7200000000003
488,21/08/2021,34,France,3265.85
565,22/08/2021,35,Germany,3231.84
897,26/08/2021,35,New Zealand,3216.08
977,27/08/2021,35,Mexico,3183.88
300,18/08/2021,34,Sweden,3149.56
160,14/08/2021,33,Germany,3148.44
1250,31/08/2021,36,Canada,3127.77
125,11/08/2021,33,Ukraine,3061.43
688,23/08/2021,35,Spain,3059.6600000000003
438,20/08/2021,34,Norway,2980.34
878,26/08/2021,35,Italy,2887.42
246,16/08/2021,34,Mexico,2830.34
164,14/08/2021,33,Mexico,2828.18
8,01/08/2021,32,Turkey,2737.9
1115,29/08/2021,36,France,2729.19
854,26/08/2021,35,Costa Rica,2718.71
590,22/08/2021,35,New Zealand,2701.87
1121,29/08/2021,36,India,2645.6
272,17/08/2021,34,El Salvador,2629.36
258,16/08/2021,34,Sweden,2525.83
138,12/08/2021,33,Ukraine,2522.4300000000003
31,04/08/2021,32,Australia,2501.06
607,22/08/2021,35,Spain,2479.71
519,21/08/2021,34,Portugal,2471.12
204,15/08/2021,34,Norway,2437.12
1185,30/08/2021,36,France,2416.9500000000003
850,26/08/2021,35,Chile,2393.03
298,18/08/2021,34,Poland,2384.4500000000003
576,22/08/2021,35,Italy,2351.84
152,13/08/2021,33,Slovakia,2209.89
667,23/08/2021,35,Mexico,2145.21
596,22/08/2021,35,Poland,2120.54
134,12/08/2021,33,Mexico,2087.79
678,23/08/2021,35,Poland,2083.9
377,19/08/2021,34,Spain,2076.4900000000002
62,06/08/2021,32,Mexico,2074.99
274,17/08/2021,34,Germany,2073.37
670,23/08/2021,35,New Zealand,2072.94
367,19/08/2021,34,Poland,2070.06
39,04/08/2021,32,Ukraine,2062.9
995,27/08/2021,35,Saudi Arabia,2041.72
1279,31/08/2021,36,Norway,2038.23
531,21/08/2021,34,Turkey,2007.51
1054,28/08/2021,35,Mexico,2002.8500000000001
344,19/08/2021,34,Italy,2001.68
215,15/08/2021,34,Sweden,1998.23
921,26/08/2021,35,Turkey,1995.81
218,15/08/2021,34,Ukraine,1990.65
86,08/08/2021,33,South Africa,1985.95
816,25/08/2021,35,Russian Federation,1973.15
1030,28/08/2021,35,France,1958.3700000000001
34,04/08/2021,32,Germany,1956.26
154,13/08/2021,33,Ukraine,1955.21
49,05/08/2021,32,Norway,1926.92
659,23/08/2021,35,Italy,1913.9
238,16/08/2021,34,Germany,1877.43
550,22/08/2021,35,Chile,1854.02
756,24/08/2021,35,Spain,1850.6200000000001
109,10/08/2021,33,Oman,1806.95
33,04/08/2021,32,France,1796.19
913,26/08/2021,35,Saudi Arabia,1794.38
720,24/08/2021,35,France,1766.81
744,24/08/2021,35,Norway,1766.39
694,23/08/2021,35,Turkey,1763.6100000000001
292,18/08/2021,34,Greece,1748.33
612,22/08/2021,35,Turkey,1745.88
874,26/08/2021,35,India,1740.87
71,07/08/2021,32,Mexico,1738.87
357,19/08/2021,34,New Zealand,1734.22
178,15/08/2021,34,Canada,1733.95
967,27/08/2021,35,Italy,1710.19
821,25/08/2021,35,Spain,1698.03
588,22/08/2021,35,Mexico,1697.3700000000001
806,25/08/2021,35,Norway,1679.33
526,21/08/2021,34,Spain,1675.1200000000001
760,24/08/2021,35,Turkey,1663.48
225,16/08/2021,34,Australia,1658.04
374,19/08/2021,34,Slovakia,1653.72
518,21/08/2021,34,Poland,1644.34
5,01/08/2021,32,Russian Federation,1644.13
478,21/08/2021,34,Chile,1642.42
907,26/08/2021,35,Poland,1640.54
1126,29/08/2021,36,Italy,1638.8600000000001
72,07/08/2021,32,Norway,1614.06
2,01/08/2021,32,Mexico,1605.15
508,21/08/2021,34,Mexico,1576.62
1000,27/08/2021,35,Spain,1569.17
168,14/08/2021,33,Turkey,1566.89
167,14/08/2021,33,Sweden,1557.0
435,20/08/2021,34,New Zealand,1556.33
1139,29/08/2021,36,New Zealand,1555.3
817,25/08/2021,35,Saudi Arabia,1554.52
1230,30/08/2021,36,Spain,1509.28
499,21/08/2021,34,Italy,1500.64
981,27/08/2021,35,New Zealand,1480.33
113,10/08/2021,33,Ukraine,1472.18
99,09/08/2021,33,Romania,1439.7
28,03/08/2021,32,Ukraine,1435.77
433,20/08/2021,34,Mexico,1400.67
613,22/08/2021,35,Ukraine,1377.7
1057,28/08/2021,35,New Zealand,1371.21
443,20/08/2021,34,Poland,1367.3899999999999
88,08/08/2021,33,Ukraine,1364.29
1022,28/08/2021,35,Costa Rica,1355.58
826,25/08/2021,35,Turkey,1346.04
684,23/08/2021,35,Saudi Arabia,1337.79
341,19/08/2021,34,India,1335.49
1075,28/08/2021,35,Spain,1329.82
658,23/08/2021,35,Israel,1318.9
79,08/08/2021,33,France,1309.59
36,04/08/2021,32,Panama,1302.66
776,25/08/2021,35,Chile,1284.33
169,14/08/2021,33,Ukraine,1273.5
654,23/08/2021,35,India,1260.99
266,17/08/2021,34,Australia,1254.47
1152,29/08/2021,36,Saudi Arabia,1252.94
379,19/08/2021,34,Switzerland,1252.26
630,23/08/2021,35,Brazil,1244.01
40,04/08/2021,32,United Arab Emirates,1235.03
990,27/08/2021,35,Poland,1230.81
48,05/08/2021,32,Mexico,1209.54
1156,29/08/2021,36,Spain,1202.38
632,23/08/2021,35,Chile,1201.67
95,09/08/2021,33,Germany,1188.17
1199,30/08/2021,36,Italy,1182.95
1226,30/08/2021,36,Saudi Arabia,1177.19
1213,30/08/2021,36,New Zealand,1173.8600000000001
919,26/08/2021,35,Switzerland,1171.09
1176,30/08/2021,36,Chile,1163.3100000000002
1148,29/08/2021,36,Portugal,1156.3300000000002
189,15/08/2021,34,France,1145.17
119,11/08/2021,33,Hong Kong,1144.12
89,08/08/2021,33,United Arab Emirates,1142.21
784,25/08/2021,35,France,1130.39
22,03/08/2021,32,Germany,1109.18
144,13/08/2021,33,Germany,1080.36
361,19/08/2021,34,Oman,1047.4
922,26/08/2021,35,Ukraine,1024.6
454,20/08/2021,34,Spain,1019.22
945,27/08/2021,35,Chile,1016.75
319,19/08/2021,34,Chile,1012.99
803,25/08/2021,35,New Zealand,993.9
59,06/08/2021,32,China,990.63
1285,31/08/2021,36,Saudi Arabia,989.2800000000001
100,09/08/2021,33,Russian Federation,988.3
150,13/08/2021,33,Panama,977.99
421,20/08/2021,34,Italy,968.76
301,18/08/2021,34,Ukraine,963.8599999999999
752,24/08/2021,35,Saudi Arabia,925.4
75,07/08/2021,32,Ukraine,907.62
