,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
444,20/08/2021,34,Portugal,166.26
241,16/08/2021,34,Italy,166.26
356,19/08/2021,34,Netherlands,165.49
601,22/08/2021,35,Russian Federation,162.74
961,27/08/2021,35,Hungary,160.72
1229,30/08/2021,36,South Africa,159.67000000000002
495,21/08/2021,34,India,158.93
296,18/08/2021,34,New Zealand,158.6
404,20/08/2021,34,Czechia,157.51
1081,28/08/2021,35,United Arab Emirates,157.45
952,27/08/2021,35,Dominican Republic,156.71
1132,29/08/2021,36,Lebanon,156.71
278,17/08/2021,34,New Zealand,155.48
645,23/08/2021,35,Finland,155.05
712,24/08/2021,35,Costa Rica,153.46
332,19/08/2021,34,Estonia,152.06
837,26/08/2021,35,Austria,151.99
835,26/08/2021,35,Aruba,151.74
471,21/08/2021,34,Austria,151.16
762,24/08/2021,35,United Arab Emirates,151.09
484,21/08/2021,34,Ecuador,150.76000000000002
473,21/08/2021,34,Belarus,150.63
1055,28/08/2021,35,Morocco,149.46
270,17/08/2021,34,Chile,149.29000000000002
328,19/08/2021,34,Dominican Republic,148.54000000000002
431,20/08/2021,34,Malaysia,148.54000000000002
675,23/08/2021,35,Panama,148.54
322,19/08/2021,34,Costa Rica,147.8
1247,31/08/2021,36,Barbados,147.8
1203,30/08/2021,36,"Korea, Republic of",147.8
560,22/08/2021,35,Egypt,147.06
304,18/08/2021,34,Uruguay,147.06
1166,29/08/2021,36,Venezuela (Bolivarian Republic of),147.06
524,21/08/2021,34,Singapore,147.06
994,27/08/2021,35,Russian Federation,147.06
722,24/08/2021,35,Ghana,147.06
591,22/08/2021,35,Nigeria,147.05
288,18/08/2021,34,Canada,145.64
908,26/08/2021,35,Portugal,144.75
389,20/08/2021,34,Argentina,143.32999999999998
166,14/08/2021,33,Poland,142.44
636,23/08/2021,35,Cyprus,142.42000000000002
542,22/08/2021,35,Austria,141.91
1106,29/08/2021,36,Costa Rica,141.85
353,19/08/2021,34,Malta,141.08
1125,29/08/2021,36,Israel,139.73000000000002
1071,28/08/2021,35,Russian Federation,138.35
902,26/08/2021,35,Pakistan,138.14000000000001
863,26/08/2021,35,El Salvador,138.14000000000001
254,16/08/2021,34,Russian Federation,137.27
401,20/08/2021,34,Colombia,133.68
1253,31/08/2021,36,Colombia,133.68
474,21/08/2021,34,Belgium,133.53
986,27/08/2021,35,"Palestine, State of",133.0
808,25/08/2021,35,Pakistan,132.94
599,22/08/2021,35,Qatar,132.94
522,21/08/2021,34,Russian Federation,132.94
1015,28/08/2021,35,Austria,132.68
872,26/08/2021,35,Hungary,132.54
980,27/08/2021,35,Netherlands,132.22
446,20/08/2021,34,Qatar,132.20000000000002
208,15/08/2021,34,Puerto Rico,132.2
182,15/08/2021,34,Colombia,132.2
333,19/08/2021,34,Finland,130.53
725,24/08/2021,35,Honduras,130.39000000000001
326,19/08/2021,34,Czechia,128.96
955,27/08/2021,35,Finland,128.96
557,22/08/2021,35,Czechia,128.96
327,19/08/2021,34,Denmark,128.3
469,21/08/2021,34,Aruba,126.49000000000001
1293,31/08/2021,36,United Arab Emirates,125.51000000000002
1170,30/08/2021,36,Austria,125.12
196,15/08/2021,34,"Korea, Republic of",124.78
1079,28/08/2021,35,Turkey,124.38
754,24/08/2021,35,Slovenia,124.3
1133,29/08/2021,36,Luxembourg,123.45
1123,29/08/2021,36,Iraq,123.29
911,26/08/2021,35,Russian Federation,123.29
579,22/08/2021,35,Jordan,123.29
875,26/08/2021,35,Iraq,123.29
1181,30/08/2021,36,Dominican Republic,123.29
974,27/08/2021,35,Luxembourg,122.61000000000001
563,22/08/2021,35,Finland,122.55000000000001
964,27/08/2021,35,Iraq,122.55000000000001
440,20/08/2021,34,Panama,122.55000000000001
838,26/08/2021,35,Bahamas,122.55000000000001
1110,29/08/2021,36,Denmark,122.50999999999999
1051,28/08/2021,35,Luxembourg,121.77000000000001
627,23/08/2021,35,Austria,121.76
355,19/08/2021,34,Morocco,120.24000000000001
689,23/08/2021,35,Sri Lanka,118.82
1190,30/08/2021,36,Guatemala,117.34
1267,31/08/2021,36,Israel,114.38
934,27/08/2021,35,Austria,113.36
802,25/08/2021,35,Netherlands,112.53
950,27/08/2021,35,Czechia,112.15
683,23/08/2021,35,Russian Federation,112.15
704,24/08/2021,35,Austria,111.68
83,08/08/2021,33,Pakistan,110.86
1029,28/08/2021,35,Finland,110.86
705,24/08/2021,35,Belgium,110.85
375,19/08/2021,34,Slovenia,110.85
1268,31/08/2021,36,Italy,110.85
578,22/08/2021,35,Japan,109.91
1112,29/08/2021,36,Ecuador,109.91
337,19/08/2021,34,Guatemala,109.91
1114,29/08/2021,36,Finland,109.33
783,25/08/2021,35,Finland,109.33
330,19/08/2021,34,Egypt,109.17
820,25/08/2021,35,South Africa,109.17
1092,29/08/2021,36,Bahrain,109.17
98,09/08/2021,33,Poland,108.49000000000001
110,10/08/2021,33,Poland,108.49000000000001
37,04/08/2021,32,Poland,108.49000000000001
121,11/08/2021,33,Poland,108.49000000000001
84,08/08/2021,33,Poland,108.49000000000001
73,07/08/2021,32,Poland,108.49000000000001
135,12/08/2021,33,Poland,108.49000000000001
63,06/08/2021,32,Poland,108.49000000000001
50,05/08/2021,32,Poland,108.49000000000001
1084,28/08/2021,35,Uruguay,108.43
975,27/08/2021,35,Malta,108.33
286,18/08/2021,34,Argentina,107.69
202,15/08/2021,34,Morocco,107.65
652,23/08/2021,35,Hungary,107.29
275,17/08/2021,34,Guatemala,106.95
336,19/08/2021,34,Greece,106.02000000000001
858,26/08/2021,35,Côte d'Ivoire,105.81
914,26/08/2021,35,Serbia,105.19
1078,28/08/2021,35,Trinidad and Tobago,103.96
260,16/08/2021,34,Turkey,103.44
217,15/08/2021,34,Turkey,103.44
1025,28/08/2021,35,Denmark,102.42
625,23/08/2021,35,Aruba,101.24000000000001
815,25/08/2021,35,Puerto Rico,100.26
25,03/08/2021,32,Oman,100.0
880,26/08/2021,35,Jordan,99.52000000000001
928,26/08/2021,35,Virgin Islands (U.S.),99.52000000000001
1225,30/08/2021,36,Russian Federation,99.52000000000001
1182,30/08/2021,36,Ecuador,99.52000000000001
521,21/08/2021,34,Qatar,99.52000000000001
1049,28/08/2021,35,"Korea, Republic of",99.52000000000001
1155,29/08/2021,36,South Africa,99.52000000000001
731,24/08/2021,35,Israel,98.78
350,19/08/2021,34,Lebanon,98.78
960,27/08/2021,35,Honduras,98.78
1215,30/08/2021,36,Nigeria,98.78
726,24/08/2021,35,Hungary,98.78
1218,30/08/2021,36,Paraguay,98.78
568,22/08/2021,35,Honduras,98.78
352,19/08/2021,34,Malaysia,98.78
1192,30/08/2021,36,Honduras,98.78
795,25/08/2021,35,Japan,98.04
681,23/08/2021,35,Qatar,98.04
674,23/08/2021,35,Pakistan,98.04
789,25/08/2021,35,Guatemala,98.04
786,25/08/2021,35,Ghana,98.04
733,24/08/2021,35,Jamaica,98.04
1038,28/08/2021,35,Honduras,98.04
1264,31/08/2021,36,Guatemala,98.04
198,15/08/2021,34,Lebanon,98.04
277,17/08/2021,34,Mexico,98.04
572,22/08/2021,35,Indonesia,98.04
1107,29/08/2021,36,Curaçao,98.04
1259,31/08/2021,36,Egypt,97.29
1280,31/08/2021,36,Oman,96.5
233,16/08/2021,34,Costa Rica,95.81
1134,29/08/2021,36,Malta,94.9
536,21/08/2021,34,Uruguay,94.31
259,16/08/2021,34,Switzerland,94.06
832,25/08/2021,35,Venezuela (Bolivarian Republic of),93.57
561,22/08/2021,35,El Salvador,92.83
809,25/08/2021,35,Panama,90.91
929,26/08/2021,35,Zimbabwe,86.89
884,26/08/2021,35,Latvia,85.58
491,21/08/2021,34,Guatemala,85.4
1258,31/08/2021,36,Ecuador,84.66
604,22/08/2021,35,Singapore,84.66
434,20/08/2021,34,Netherlands,83.98
1179,30/08/2021,36,Cyprus,83.98
1091,29/08/2021,36,Austria,83.98
741,24/08/2021,35,Netherlands,83.97
566,22/08/2021,35,Greece,83.97
942,27/08/2021,35,Bulgaria,83.92
1202,30/08/2021,36,Kenya,83.92
1224,30/08/2021,36,Qatar,83.92
492,21/08/2021,34,Honduras,83.92
250,16/08/2021,34,Peru,83.18
253,16/08/2021,34,Puerto Rico,83.18
1217,30/08/2021,36,Panama,83.18
1065,28/08/2021,35,Philippines,83.18
205,15/08/2021,34,Peru,83.18
1234,30/08/2021,36,Trinidad and Tobago,83.18
447,20/08/2021,34,Romania,82.86
230,16/08/2021,34,Chile,82.44
859,26/08/2021,35,Denmark,82.05
349,19/08/2021,34,Latvia,81.51
1033,28/08/2021,35,Greece,81.51
165,14/08/2021,33,Oman,79.47
896,26/08/2021,35,Netherlands,79.05
569,22/08/2021,35,Hungary,78.85
493,21/08/2021,34,Hungary,78.74000000000001
1228,30/08/2021,36,Slovenia,78.31
407,20/08/2021,34,Egypt,77.57000000000001
589,22/08/2021,35,Morocco,77.57000000000001
586,22/08/2021,35,Malta,77.27000000000001
824,25/08/2021,35,Switzerland,77.26
1193,30/08/2021,36,Hungary,76.73
1184,30/08/2021,36,Finland,76.73
818,25/08/2021,35,Singapore,75.75
462,20/08/2021,34,Uruguay,75.75
406,20/08/2021,34,Ecuador,75.01
1052,28/08/2021,35,Malaysia,75.01
1026,28/08/2021,35,Dominican Republic,75.01
780,25/08/2021,35,Denmark,75.01
755,24/08/2021,35,South Africa,75.01
1168,30/08/2021,36,Aruba,75.01
1008,27/08/2021,35,Uruguay,75.01
494,21/08/2021,34,Iceland,74.27000000000001
585,22/08/2021,35,Malaysia,74.27000000000001
366,19/08/2021,34,Philippines,74.27000000000001
482,21/08/2021,34,Curaçao,74.27000000000001
910,26/08/2021,35,Qatar,74.27000000000001
871,26/08/2021,35,Hong Kong,74.27000000000001
987,27/08/2021,35,Panama,74.27000000000001
888,26/08/2021,35,Malaysia,74.27000000000001
715,24/08/2021,35,Dominican Republic,74.27000000000001
390,20/08/2021,34,Aruba,74.27000000000001
782,25/08/2021,35,Egypt,74.27000000000001
514,21/08/2021,34,Panama,74.27000000000001
324,19/08/2021,34,Curaçao,74.27000000000001
904,26/08/2021,35,Paraguay,74.27000000000001
1061,28/08/2021,35,Pakistan,74.27000000000001
737,24/08/2021,35,Kuwait,74.27000000000001
506,21/08/2021,34,Malaysia,74.27000000000001
968,27/08/2021,35,Japan,73.53
954,27/08/2021,35,Egypt,73.53
927,26/08/2021,35,Venezuela (Bolivarian Republic of),73.53
426,20/08/2021,34,Kuwait,73.53
193,15/08/2021,34,Israel,73.53
348,19/08/2021,34,Kuwait,73.53
186,15/08/2021,34,Dominican Republic,73.53
797,25/08/2021,35,Kuwait,73.53
187,15/08/2021,34,Ecuador,73.53
548,22/08/2021,35,Cambodia,73.53
232,16/08/2021,34,Colombia,73.53
801,25/08/2021,35,Morocco,73.53
306,19/08/2021,34,Argentina,73.53
661,23/08/2021,35,Jordan,73.53
1151,29/08/2021,36,Russian Federation,73.53
386,19/08/2021,34,Venezuela (Bolivarian Republic of),73.53
223,15/08/2021,34,Venezuela (Bolivarian Republic of),73.53
428,20/08/2021,34,Lebanon,73.53
185,15/08/2021,34,Denmark,72.13
1165,29/08/2021,36,Uruguay,72.04
1041,28/08/2021,35,Iceland,71.91
13,02/08/2021,32,Germany,71.43
1073,28/08/2021,35,Singapore,69.8
804,25/08/2021,35,Nicaragua,69.06
993,27/08/2021,35,Qatar,69.05999999999999
452,20/08/2021,34,Slovenia,68.86
1017,28/08/2021,35,Bolivia (Plurinational State of),68.32
833,26/08/2021,35,Andorra,67.18
889,26/08/2021,35,Malta,67.18
1222,30/08/2021,36,Portugal,67.18
951,27/08/2021,35,Côte d'Ivoire,66.34
638,23/08/2021,35,Côte d'Ivoire,66.34
778,25/08/2021,35,Cyprus,64.67
828,25/08/2021,35,United Arab Emirates,63.870000000000005
1053,28/08/2021,35,Malta,63.449999999999996
1257,31/08/2021,36,Dominican Republic,63.13
753,24/08/2021,35,Singapore,63.13
351,19/08/2021,34,Lithuania,62.61
281,17/08/2021,34,Puerto Rico,62.39
248,16/08/2021,34,New Zealand,61.87
543,22/08/2021,35,Azerbaijan,60.3
1201,30/08/2021,36,Jordan,60.15
1186,30/08/2021,36,Georgia,60.15
842,26/08/2021,35,Bolivia (Plurinational State of),59.410000000000004
558,22/08/2021,35,Dominican Republic,59.410000000000004
1069,28/08/2021,35,Qatar,59.41
405,20/08/2021,34,Dominican Republic,59.41
983,27/08/2021,35,North Macedonia,59.41
736,24/08/2021,35,"Korea, Republic of",58.67
1172,30/08/2021,36,Bolivia (Plurinational State of),58.67
554,22/08/2021,35,Croatia,58.67
106,10/08/2021,33,Canada,58.11
958,27/08/2021,35,Greece,57.78
1117,29/08/2021,36,Greece,57.78
1291,31/08/2021,36,Turkey,57.1
1113,29/08/2021,36,Estonia,56.27
886,26/08/2021,35,Luxembourg,56.27
432,20/08/2021,34,Malta,56.27
430,20/08/2021,34,Luxembourg,56.27
1286,31/08/2021,36,Serbia,56.27
1070,28/08/2021,35,Romania,56.27
486,21/08/2021,34,Estonia,56.27
749,24/08/2021,35,Portugal,56.27
1056,28/08/2021,35,Netherlands,56.27
814,25/08/2021,35,Portugal,56.260000000000005
1263,31/08/2021,36,Greece,55.43
685,23/08/2021,35,Serbia,55.43
510,21/08/2021,34,Netherlands,55.43
451,20/08/2021,34,Slovakia,55.43
267,17/08/2021,34,Austria,55.43
1256,31/08/2021,36,Denmark,55.43
226,16/08/2021,34,Belgium,55.43
996,27/08/2021,35,Serbia,55.43
1276,31/08/2021,36,Netherlands,55.42
788,25/08/2021,35,Greece,55.42
207,15/08/2021,34,Portugal,55.42
771,25/08/2021,35,Belgium,53.49
1097,29/08/2021,36,Bosnia and Herzegovina,53.06
1212,30/08/2021,36,Netherlands,53.06
487,21/08/2021,34,Finland,53.06
622,23/08/2021,35,Albania,52.96
1180,30/08/2021,36,Denmark,52.96
177,15/08/2021,34,Brazil,52.22
247,16/08/2021,34,Morocco,52.22
1290,31/08/2021,36,Switzerland,52.07000000000001
653,23/08/2021,35,Iceland,51.25
810,25/08/2021,35,Paraguay,50.5
745,24/08/2021,35,Pakistan,50.5
1086,28/08/2021,35,Virgin Islands (U.S.),49.760000000000005
310,19/08/2021,34,Barbados,49.760000000000005
662,23/08/2021,35,Kenya,49.760000000000005
671,23/08/2021,35,Nigeria,49.760000000000005
1157,29/08/2021,36,Sri Lanka,49.760000000000005
414,20/08/2021,34,Guatemala,49.760000000000005
985,27/08/2021,35,Oman,49.760000000000005
1240,30/08/2021,36,Uruguay,49.760000000000005
807,25/08/2021,35,Oman,49.760000000000005
682,23/08/2021,35,Romania,49.760000000000005
787,25/08/2021,35,Gibraltar,49.760000000000005
768,25/08/2021,35,Aruba,49.760000000000005
656,23/08/2021,35,Iraq,49.760000000000005
1089,29/08/2021,36,Aruba,49.760000000000005
757,24/08/2021,35,Sri Lanka,49.760000000000005
1048,28/08/2021,35,Jordan,49.760000000000005
1207,30/08/2021,36,Malaysia,49.760000000000005
1211,30/08/2021,36,Morocco,49.760000000000005
693,23/08/2021,35,Trinidad and Tobago,49.760000000000005
422,20/08/2021,34,Jamaica,49.760000000000005
1227,30/08/2021,36,Singapore,49.760000000000005
700,23/08/2021,35,Virgin Islands (U.S.),49.760000000000005
1144,29/08/2021,36,Panama,49.760000000000005
423,20/08/2021,34,Japan,49.760000000000005
849,26/08/2021,35,Cayman Islands,49.760000000000005
887,26/08/2021,35,Macao,49.760000000000005
501,21/08/2021,34,Kenya,49.760000000000005
1283,31/08/2021,36,Puerto Rico,49.760000000000005
577,22/08/2021,35,Jamaica,49.760000000000005
1095,29/08/2021,36,Belize,49.760000000000005
573,22/08/2021,35,Iraq,49.760000000000005
620,22/08/2021,35,Zambia,49.760000000000005
504,21/08/2021,34,Lebanon,49.760000000000005
1109,29/08/2021,36,Czechia,49.760000000000005
899,26/08/2021,35,Nigeria,49.760000000000005
892,26/08/2021,35,Mongolia,49.760000000000005
1023,28/08/2021,35,Curaçao,49.760000000000005
513,21/08/2021,34,"Palestine, State of",49.760000000000005
1130,29/08/2021,36,Kuwait,49.760000000000005
1255,31/08/2021,36,Curaçao,49.760000000000005
1260,31/08/2021,36,Estonia,49.760000000000005
567,22/08/2021,35,Guatemala,49.760000000000005
338,19/08/2021,34,Honduras,49.760000000000005
1040,28/08/2021,35,Hungary,49.02
437,20/08/2021,34,Nigeria,49.02
1242,30/08/2021,36,Zimbabwe,49.02
172,15/08/2021,34,Argentina,49.02
1047,28/08/2021,35,Japan,49.02
410,20/08/2021,34,Finland,49.02
1272,31/08/2021,36,Malaysia,49.02
1254,31/08/2021,36,Costa Rica,49.02
442,20/08/2021,34,Philippines,49.02
1269,31/08/2021,36,Kuwait,49.02
1060,28/08/2021,35,Oman,49.02
176,15/08/2021,34,Bolivia (Plurinational State of),49.02
1210,30/08/2021,36,Mongolia,49.02
211,15/08/2021,34,Saudi Arabia,49.02
1093,29/08/2021,36,Barbados,49.02
1100,29/08/2021,36,Brunei Darussalam,49.02
1101,29/08/2021,36,Bulgaria,49.02
466,21/08/2021,34,Anguilla,49.02
1119,29/08/2021,36,Hungary,49.02
1120,29/08/2021,36,Iceland,49.02
465,20/08/2021,34,Zimbabwe,49.02
472,21/08/2021,34,Bahrain,49.02
200,15/08/2021,34,Malaysia,49.02
1127,29/08/2021,36,Japan,49.02
464,20/08/2021,34,Virgin Islands (U.S.),49.02
1137,29/08/2021,36,Nepal,49.02
197,15/08/2021,34,Kuwait,49.02
1145,29/08/2021,36,Paraguay,49.02
195,15/08/2021,34,Japan,49.02
1153,29/08/2021,36,Singapore,49.02
475,21/08/2021,34,Bosnia and Herzegovina,49.02
415,20/08/2021,34,Honduras,49.02
1062,28/08/2021,35,Panama,49.02
1188,30/08/2021,36,Ghana,49.02
1189,30/08/2021,36,Guam,49.02
1198,30/08/2021,36,Israel,49.02
1034,28/08/2021,35,Guam,49.02
587,22/08/2021,35,Mauritius,49.02
1032,28/08/2021,35,Ghana,49.02
943,27/08/2021,35,Cambodia,49.02
312,19/08/2021,34,Bolivia (Plurinational State of),49.02
772,25/08/2021,35,Bolivia (Plurinational State of),49.02
540,22/08/2021,35,Aruba,49.02
538,21/08/2021,34,Virgin Islands (U.S.),49.02
307,19/08/2021,34,Aruba,49.02
222,15/08/2021,34,Uruguay,49.02
397,20/08/2021,34,Cambodia,49.02
290,18/08/2021,34,Costa Rica,49.02
839,26/08/2021,35,Bahrain,49.02
840,26/08/2021,35,Barbados,49.02
845,26/08/2021,35,Brunei Darussalam,49.02
846,26/08/2021,35,Bulgaria,49.02
847,26/08/2021,35,Cambodia,49.02
517,21/08/2021,34,Philippines,49.02
857,26/08/2021,35,Czechia,49.02
873,26/08/2021,35,Iceland,49.02
890,26/08/2021,35,Mauritius,49.02
895,26/08/2021,35,Nepal,49.02
906,26/08/2021,35,Philippines,49.02
262,16/08/2021,34,United Arab Emirates,49.02
503,21/08/2021,34,Kuwait,49.02
932,27/08/2021,35,Aruba,49.02
935,27/08/2021,35,Bahrain,49.02
313,19/08/2021,34,Bosnia and Herzegovina,49.02
766,24/08/2021,35,Venezuela (Bolivarian Republic of),49.02
315,19/08/2021,34,Cambodia,49.02
388,19/08/2021,34,Zimbabwe,49.02
380,19/08/2021,34,Trinidad and Tobago,49.02
595,22/08/2021,35,Philippines,49.02
618,22/08/2021,35,Venezuela (Bolivarian Republic of),49.02
621,22/08/2021,35,Zimbabwe,49.02
637,23/08/2021,35,Czechia,49.02
643,23/08/2021,35,Egypt,49.02
359,19/08/2021,34,Nigeria,49.02
651,23/08/2021,35,Honduras,49.02
655,23/08/2021,35,Indonesia,49.02
673,23/08/2021,35,Oman,49.02
555,22/08/2021,35,Curaçao,49.02
544,22/08/2021,35,Bahamas,49.02
713,24/08/2021,35,Croatia,49.02
727,24/08/2021,35,India,49.02
728,24/08/2021,35,Indonesia,49.02
729,24/08/2021,35,Iraq,49.02
740,24/08/2021,35,Morocco,49.02
743,24/08/2021,35,Nicaragua,49.02
746,24/08/2021,35,"Palestine, State of",49.02
546,22/08/2021,35,Bosnia and Herzegovina,49.02
320,19/08/2021,34,China,49.02
750,24/08/2021,35,Puerto Rico,49.02
936,27/08/2021,35,Barbados,49.02
941,27/08/2021,35,Brunei Darussalam,49.02
976,27/08/2021,35,Mauritius,49.02
997,27/08/2021,35,Singapore,49.02
1011,27/08/2021,35,Virgin Islands (U.S.),49.02
1009,27/08/2021,35,Venezuela (Bolivarian Republic of),49.02
988,27/08/2021,35,Paraguay,49.02
490,21/08/2021,34,Greece,49.02
962,27/08/2021,35,Iceland,49.02
979,27/08/2021,35,Nepal,49.02
496,21/08/2021,34,Indonesia,49.02
235,16/08/2021,34,Dominican Republic,49.02
6,01/08/2021,32,Slovakia,48.95
1194,30/08/2021,36,Iceland,48.32
429,20/08/2021,34,Lithuania,47.62
234,16/08/2021,34,Denmark,47.62
85,08/08/2021,33,Slovakia,45.4
1122,29/08/2021,36,Indonesia,44.11
409,20/08/2021,34,Estonia,41.99
562,22/08/2021,35,Estonia,41.99
147,13/08/2021,33,Lithuania,40.31
1067,28/08/2021,35,Portugal,39.470000000000006
949,27/08/2021,35,Cyprus,38.63
930,27/08/2021,35,Andorra,38.63
623,23/08/2021,35,Andorra,38.63
1108,29/08/2021,36,Cyprus,38.63
273,17/08/2021,34,France,38.63
647,23/08/2021,35,Georgia,38.62
1191,30/08/2021,36,Guinea,38.33
1036,28/08/2021,35,Guinea,38.33
798,25/08/2021,35,Luxembourg,36.94
1271,31/08/2021,36,Luxembourg,36.94
570,22/08/2021,35,Iceland,36.8
162,14/08/2021,33,Italy,36.11
163,14/08/2021,33,Lithuania,35.65
793,25/08/2021,35,Israel,34.9
1150,29/08/2021,36,Qatar,34.9
1278,31/08/2021,36,Nicaragua,34.9
505,21/08/2021,34,Lithuania,34.9
600,22/08/2021,35,Romania,34.9
1088,29/08/2021,36,Armenia,34.9
305,19/08/2021,34,Albania,34.9
611,22/08/2021,35,Trinidad and Tobago,34.9
1012,28/08/2021,35,Andorra,34.9
394,20/08/2021,34,Bermuda,34.9
467,21/08/2021,34,Antigua and Barbuda,34.9
640,23/08/2021,35,Dominica,34.9
608,22/08/2021,35,Sri Lanka,34.9
537,21/08/2021,34,Venezuela (Bolivarian Republic of),34.16
660,23/08/2021,35,Jamaica,34.16
870,26/08/2021,35,Honduras,34.16
1220,30/08/2021,36,Philippines,34.16
1284,31/08/2021,36,Russian Federation,34.16
644,23/08/2021,35,El Salvador,34.16
408,20/08/2021,34,El Salvador,34.16
485,21/08/2021,34,El Salvador,34.16
58,06/08/2021,32,Canada,33.6
16,02/08/2021,32,Poland,32.95
3,01/08/2021,32,Poland,32.95
26,03/08/2021,32,Poland,32.95
1143,29/08/2021,36,Oman,31.0
982,27/08/2021,35,Nigeria,30.07
530,21/08/2021,34,Tunisia,30.0
416,20/08/2021,34,Hungary,29.83
323,19/08/2021,34,Croatia,28.55
819,25/08/2021,35,Slovenia,28.55
1245,31/08/2021,36,Austria,28.55
668,23/08/2021,35,Morocco,28.55
799,25/08/2021,35,Malta,28.55
679,23/08/2021,35,Portugal,28.55
1274,31/08/2021,36,"Moldova, Republic of",28.55
853,26/08/2021,35,"Congo, Democratic Republic of the",28.55
340,19/08/2021,34,Iceland,28.55
912,26/08/2021,35,Saint Vincent and the Grenadines,28.55
316,19/08/2021,34,Cameroon,28.55
605,22/08/2021,35,Slovakia,28.55
893,26/08/2021,35,Montenegro,28.55
1205,30/08/2021,36,Latvia,28.55
1024,28/08/2021,35,Cyprus,28.55
1138,29/08/2021,36,Netherlands,27.87
236,16/08/2021,34,Finland,27.71
738,24/08/2021,35,Lithuania,27.71
556,22/08/2021,35,Cyprus,27.71
583,22/08/2021,35,Latvia,27.71
229,16/08/2021,34,Cayman Islands,27.71
179,15/08/2021,34,Cayman Islands,27.71
325,19/08/2021,34,Cyprus,27.71
1248,31/08/2021,36,Belgium,27.71
252,16/08/2021,34,Portugal,27.71
213,15/08/2021,34,Slovenia,27.71
256,16/08/2021,34,Slovenia,27.71
413,20/08/2021,34,Greece,27.71
188,15/08/2021,34,Finland,27.71
427,20/08/2021,34,Latvia,27.71
403,20/08/2021,34,Cyprus,27.71
507,21/08/2021,34,Malta,27.71
199,15/08/2021,34,Lithuania,27.71
244,16/08/2021,34,Lithuania,27.71
245,16/08/2021,34,Luxembourg,27.71
708,24/08/2021,35,Brunei Darussalam,25.25
866,26/08/2021,35,Gabon,25.25
345,19/08/2021,34,Japan,25.25
331,19/08/2021,34,El Salvador,25.25
676,23/08/2021,35,Paraguay,25.25
718,24/08/2021,35,El Salvador,25.25
723,24/08/2021,35,Guatemala,25.25
1246,31/08/2021,36,Bahrain,25.25
1249,31/08/2021,36,Brazil,25.25
358,19/08/2021,34,Nicaragua,25.25
1251,31/08/2021,36,Cayman Islands,25.25
1043,28/08/2021,35,Indonesia,25.25
734,24/08/2021,35,Japan,25.25
879,26/08/2021,35,Japan,25.25
436,20/08/2021,34,Nicaragua,25.25
362,19/08/2021,34,Pakistan,25.25
1039,28/08/2021,35,Hong Kong,25.25
619,22/08/2021,35,Virgin Islands (U.S.),25.25
1098,29/08/2021,36,Botswana,25.25
1287,31/08/2021,36,South Africa,25.25
948,27/08/2021,35,Curaçao,25.25
1037,28/08/2021,35,Guyana,25.25
1085,28/08/2021,35,Venezuela (Bolivarian Republic of),25.25
724,24/08/2021,35,Haiti,25.25
529,21/08/2021,34,Trinidad and Tobago,25.25
805,25/08/2021,35,North Macedonia,25.25
825,25/08/2021,35,Trinidad and Tobago,25.25
1196,30/08/2021,36,Indonesia,25.25
318,19/08/2021,34,Cayman Islands,25.25
998,27/08/2021,35,Somalia,25.25
1058,28/08/2021,35,Nigeria,25.25
1063,28/08/2021,35,Papua New Guinea,25.25
822,25/08/2021,35,Sri Lanka,25.25
1208,30/08/2021,36,Mauritius,25.25
790,25/08/2021,35,Haiti,25.25
580,22/08/2021,35,Kenya,24.51
240,16/08/2021,34,Israel,24.51
635,23/08/2021,35,Croatia,24.51
509,21/08/2021,34,Mongolia,24.51
894,26/08/2021,35,Morocco,24.51
639,23/08/2021,35,Denmark,24.51
881,26/08/2021,35,Kenya,24.51
271,17/08/2021,34,Colombia,24.51
900,26/08/2021,35,North Macedonia,24.51
481,21/08/2021,34,Croatia,24.51
299,18/08/2021,34,Puerto Rico,24.51
939,27/08/2021,35,Bosnia and Herzegovina,24.51
224,16/08/2021,34,Argentina,24.51
735,24/08/2021,35,Jordan,24.51
770,25/08/2021,35,Austria,24.51
424,20/08/2021,34,Jordan,24.51
395,20/08/2021,34,Bolivia (Plurinational State of),24.51
184,15/08/2021,34,Croatia,24.51
268,17/08/2021,34,Bolivia (Plurinational State of),24.51
364,19/08/2021,34,Paraguay,24.51
183,15/08/2021,34,Costa Rica,24.51
500,21/08/2021,34,Jordan,24.51
1102,29/08/2021,36,Cambodia,24.51
1028,28/08/2021,35,Egypt,24.51
774,25/08/2021,35,Cambodia,24.51
209,15/08/2021,34,Qatar,24.51
243,16/08/2021,34,"Korea, Republic of",24.51
417,20/08/2021,34,Iceland,24.51
255,16/08/2021,34,Singapore,24.51
1096,29/08/2021,36,Bolivia (Plurinational State of),24.51
212,15/08/2021,34,Singapore,24.51
843,26/08/2021,35,Bosnia and Herzegovina,24.51
191,15/08/2021,34,Hungary,24.51
1173,30/08/2021,36,Bosnia and Herzegovina,24.51
400,20/08/2021,34,China,24.51
851,26/08/2021,35,China,24.51
714,24/08/2021,35,Denmark,24.51
1136,29/08/2021,36,Morocco,24.51
1141,29/08/2021,36,North Macedonia,24.51
551,22/08/2021,35,China,24.51
175,15/08/2021,34,Bermuda,24.51
978,27/08/2021,35,Morocco,24.51
231,16/08/2021,34,China,24.51
